bc_wells,sample,species,gene_count,tscp_count,mread_count,GRCm39_gene_count,GRCm39_tscp_count,GRCm39_mread_count,hg38_gene_count,hg38_tscp_count,hg38_mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well
01_01_37,xcond_1,GRCm39,420,588,964,419,586,958,1,2,6,1,1,37,A1,A1,D1
01_01_62,xcond_1,GRCm39,986,1845,3000,984,1842,2997,2,3,3,1,1,62,A1,A1,F2
01_01_69,xcond_1,GRCm39,192,257,398,192,257,398,0,0,0,1,1,69,A1,A1,F9
01_01_85,xcond_1,GRCm39,580,865,1400,579,864,1399,1,1,1,1,1,85,A1,A1,H1
01_02_08,xcond_1,GRCm39,535,841,1392,535,841,1392,0,0,0,1,2,8,A1,A2,A8
01_02_61,xcond_1,GRCm39,826,1457,2441,824,1453,2433,2,4,8,1,2,61,A1,A2,F1
01_02_66,xcond_1,GRCm39,480,677,1098,479,676,1097,1,1,1,1,2,66,A1,A2,F6
01_02_69,xcond_1,GRCm39,531,867,1432,530,866,1431,1,1,1,1,2,69,A1,A2,F9
01_02_76,xcond_1,GRCm39,724,1069,1698,724,1069,1698,0,0,0,1,2,76,A1,A2,G4
01_02_86,xcond_1,GRCm39,667,1001,1667,667,1001,1667,0,0,0,1,2,86,A1,A2,H2
01_03_40,xcond_1,GRCm39,1141,1836,2952,1139,1831,2945,2,5,7,1,3,40,A1,A3,D4
01_03_52,xcond_1,GRCm39,537,772,1187,537,772,1187,0,0,0,1,3,52,A1,A3,E4
01_03_79,xcond_1,GRCm39,624,858,1426,623,857,1423,1,1,3,1,3,79,A1,A3,G7
01_03_84,xcond_1,GRCm39,346,427,695,345,426,694,1,1,1,1,3,84,A1,A3,G12
01_04_26,xcond_1,GRCm39,292,420,685,292,420,685,0,0,0,1,4,26,A1,A4,C2
01_04_74,xcond_1,GRCm39,932,1734,2764,930,1732,2760,2,2,4,1,4,74,A1,A4,G2
01_05_03,xcond_1,GRCm39,170,208,308,170,208,308,0,0,0,1,5,3,A1,A5,A3
01_05_43,xcond_1,GRCm39,1078,2559,4133,1076,2557,4131,2,2,2,1,5,43,A1,A5,D7
01_05_50,xcond_1,GRCm39,1273,1984,3281,1271,1982,3277,2,2,4,1,5,50,A1,A5,E2
01_05_63,xcond_1,GRCm39,364,553,874,364,553,874,0,0,0,1,5,63,A1,A5,F3
01_06_07,xcond_1,GRCm39,412,517,855,411,516,854,1,1,1,1,6,7,A1,A6,A7
01_06_11,xcond_1,GRCm39,2129,4654,7519,2125,4646,7509,4,8,10,1,6,11,A1,A6,A11
01_06_17,xcond_1,GRCm39,621,979,1541,619,977,1538,2,2,3,1,6,17,A1,A6,B5
01_07_13,xcond_1,GRCm39,422,565,954,421,564,952,1,1,2,1,7,13,A1,A7,B1
01_07_43,xcond_1,GRCm39,223,277,444,222,276,443,1,1,1,1,7,43,A1,A7,D7
01_07_93,xcond_1,GRCm39,254,336,555,253,335,554,1,1,1,1,7,93,A1,A7,H9
01_08_51,xcond_1,GRCm39,617,862,1428,617,862,1428,0,0,0,1,8,51,A1,A8,E3
01_08_57,xcond_1,GRCm39,214,259,395,214,259,395,0,0,0,1,8,57,A1,A8,E9
01_08_72,xcond_1,GRCm39,1276,2044,3454,1273,2037,3440,3,7,14,1,8,72,A1,A8,F12
01_08_80,xcond_1,GRCm39,558,683,1134,556,681,1131,2,2,3,1,8,80,A1,A8,G8
01_08_81,xcond_1,GRCm39,595,905,1462,595,905,1462,0,0,0,1,8,81,A1,A8,G9
01_08_85,xcond_1,GRCm39,850,1362,2217,850,1362,2217,0,0,0,1,8,85,A1,A8,H1
01_08_92,xcond_1,GRCm39,921,1489,2441,920,1488,2440,1,1,1,1,8,92,A1,A8,H8
01_09_36,xcond_1,GRCm39,1270,2150,3361,1269,2149,3360,1,1,1,1,9,36,A1,A9,C12
01_09_93,xcond_1,GRCm39,481,727,1168,481,727,1168,0,0,0,1,9,93,A1,A9,H9
01_10_12,xcond_1,GRCm39,642,930,1502,640,928,1496,2,2,6,1,10,12,A1,A10,A12
01_10_20,xcond_1,GRCm39,422,556,907,422,556,907,0,0,0,1,10,20,A1,A10,B8
01_10_85,xcond_1,GRCm39,484,670,1082,484,670,1082,0,0,0,1,10,85,A1,A10,H1
01_10_91,xcond_1,GRCm39,689,1043,1768,688,1042,1767,1,1,1,1,10,91,A1,A10,H7
01_11_50,xcond_1,GRCm39,677,1096,1772,676,1095,1771,1,1,1,1,11,50,A1,A11,E2
01_12_43,xcond_1,GRCm39,836,1415,2318,832,1411,2308,4,4,10,1,12,43,A1,A12,D7
01_12_47,xcond_1,GRCm39,1351,2150,3598,1350,2148,3596,1,2,2,1,12,47,A1,A12,D11
01_12_86,xcond_1,GRCm39,243,320,504,243,320,504,0,0,0,1,12,86,A1,A12,H2
01_12_92,xcond_1,GRCm39,175,209,352,175,209,352,0,0,0,1,12,92,A1,A12,H8
01_12_93,xcond_1,GRCm39,472,681,1091,470,679,1085,2,2,6,1,12,93,A1,A12,H9
01_13_08,xcond_1,GRCm39,853,1434,2295,851,1430,2288,2,4,7,1,13,8,A1,B1,A8
01_13_12,xcond_1,GRCm39,2068,4321,7075,2068,4321,7075,0,0,0,1,13,12,A1,B1,A12
01_13_36,xcond_1,GRCm39,754,1848,2986,753,1847,2985,1,1,1,1,13,36,A1,B1,C12
01_13_42,xcond_1,GRCm39,606,964,1467,606,964,1467,0,0,0,1,13,42,A1,B1,D6
01_13_62,xcond_1,GRCm39,446,580,912,446,580,912,0,0,0,1,13,62,A1,B1,F2
01_13_74,xcond_1,GRCm39,772,1196,1941,771,1195,1940,1,1,1,1,13,74,A1,B1,G2
01_13_78,xcond_1,GRCm39,4879,16507,27009,4875,16498,26992,4,9,17,1,13,78,A1,B1,G6
01_13_79,xcond_1,GRCm39,506,695,1156,506,695,1156,0,0,0,1,13,79,A1,B1,G7
01_13_80,xcond_1,GRCm39,821,1513,2475,820,1512,2474,1,1,1,1,13,80,A1,B1,G8
01_13_89,xcond_1,GRCm39,207,250,414,207,250,414,0,0,0,1,13,89,A1,B1,H5
01_14_19,xcond_1,GRCm39,912,1591,2630,911,1590,2629,1,1,1,1,14,19,A1,B2,B7
01_14_63,xcond_1,GRCm39,1206,2013,3452,1205,2012,3451,1,1,1,1,14,63,A1,B2,F3
01_15_03,xcond_1,GRCm39,243,295,466,243,295,466,0,0,0,1,15,3,A1,B3,A3
01_15_23,xcond_1,GRCm39,672,1081,1760,671,1080,1759,1,1,1,1,15,23,A1,B3,B11
01_15_48,xcond_1,GRCm39,364,527,825,363,526,824,1,1,1,1,15,48,A1,B3,D12
01_15_84,xcond_1,GRCm39,563,764,1246,562,763,1245,1,1,1,1,15,84,A1,B3,G12
01_16_21,xcond_1,GRCm39,297,390,682,297,390,682,0,0,0,1,16,21,A1,B4,B9
01_16_33,xcond_1,GRCm39,238,315,543,237,314,542,1,1,1,1,16,33,A1,B4,C9
01_16_64,xcond_1,GRCm39,246,317,456,245,316,455,1,1,1,1,16,64,A1,B4,F4
01_17_38,xcond_1,GRCm39,790,1234,2072,789,1233,2071,1,1,1,1,17,38,A1,B5,D2
01_17_84,xcond_1,GRCm39,576,796,1343,575,795,1342,1,1,1,1,17,84,A1,B5,G12
01_17_92,xcond_1,GRCm39,309,431,699,307,428,694,2,3,5,1,17,92,A1,B5,H8
01_18_15,xcond_1,GRCm39,996,1802,2953,994,1797,2945,2,5,8,1,18,15,A1,B6,B3
01_18_24,xcond_1,GRCm39,851,1398,2240,850,1397,2238,1,1,2,1,18,24,A1,B6,B12
